make_model,Price,Registration Date,COE Remaining,Manufactured,Mileage,No. of Owners,Transmission,Engine Capacity,fuel_type,COE,OMV,Paper Value,Depreciation,Type
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
TOYOTA HARRIER 2.0A G-GRADE,"$169,988   ",06-Jan-2021,9yrs 7mths 18days,2020,652 km,1,Auto,"1,986 cc",,"$49,300","$38,278","$81,723","$15,270 / year",SUV
VOLKSWAGEN SCIROCCO R 2.0A (COE TILL 12/2030),"$82,388   ",28-Feb-2011,9yrs 7mths 13days,2010,"158,000 km",2,Auto,"1,984 cc",,"$40,714","$35,704","$39,197","$8,560 / year",Sports Car
VOLKSWAGEN PASSAT 2.0A TSI BUSINESS,"$143,988   ",30-Nov-2020,9yrs 6mths 11days,2020,"6,000 km",1,Auto,"1,984 cc",,"$41,503","$28,966","$64,007","$13,390 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
AUDI A5 SPORTBACK 2.0A TFSI S-TRONIC DESIGN,"$143,888   ",30-Jan-2019,7yrs 8mths 11days,2018,"34,492 km",1,Auto,"1,984 cc",,"$33,989","$38,186","$60,291","$15,720 / year",Luxury Sedan
MINI COOPER S COUNTRYMAN 1.6A (COE TILL 12/2030),"$77,500   ",18-Oct-2011,9yrs 7mths 13days,2011,"141,800 km",5,Auto,"1,598 cc",,"$37,303","$34,182","$35,913","$8,050 / year",Sports Car
VOLKSWAGEN GOLF 1.4A TSI,"$62,800   ",22-Jun-2016,5yrs 1mth 3days,2015,"46,752 km",2,Auto,"1,395 cc",,"$53,694","$20,436","$35,320","$11,280 / year",Hatchback
AUDI A4 2.0A TFSI QUATTRO S-TRONIC S-LINE (COE TILL 01/2031),"$79,800   ",31-Mar-2011,9yrs 8mths 13days,2010,"141,888 km",3,Auto,"1,984 cc",,"$42,683","$42,697","$41,455","$8,220 / year",Luxury Sedan
AUDI A4 1.8A TFSI MU (COE TILL 11/2024),"$35,000   ",18-Feb-2010,3yrs 6mths 12days,2009,"150,000 km",3,Auto,"1,798 cc",,"$19,565","$35,786","$6,925","$9,890 / year",Luxury Sedan
MERCEDES-BENZ E-CLASS E250 CGI CABRIOLET (COE TILL 08/2030),"$103,800   ",13-Dec-2010,9yrs 3mths 13days,2010,"88,000 km",3,Auto,"1,796 cc",,"$32,914","$63,555","$30,587","$11,170 / year",Sports Car
MERCEDES-BENZ A-CLASS SALOON A200 SE,"$167,988   ",16-Mar-2021,9yrs 9mths 25days,2019,652 km,1,Auto,"1,332 cc",,"$49,500","$31,799","$76,048","$15,230 / year",Luxury Sedan
BMW 7 SERIES 730LI SUNROOF,"$238,000   ",28-Mar-2018,6yrs 10mths 9days,2017,"20,000 km",1,Auto,"1,998 cc",,"$39,001","$79,348","$112,887","$26,310 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
HYUNDAI ELANTRA 1.6A GLS S,"$62,000   ",04-Apr-2018,6yrs 10mths 16days,2018,"28,000 km",1,Auto,"1,591 cc",,"$38,830","$11,643","$35,456","$8,160 / year",Mid-Sized Sedan
MERCEDES-BENZ E-CLASS E200ML (COE TILL 03/2029),"$45,000   ",06-Feb-2002,7yrs 10mths 13days,2001,"188,000 km",2,Auto,"1,998 cc",,"$33,018","$48,906","$25,998","$5,720 / year",Luxury Sedan
MERCEDES-BENZ GLB-CLASS GLB200 AMG LINE PREMIUM PLUS 7-SEATER,"$210,988   ",26-Jun-2020,9yrs 1mth 7days,2020,11 km,1,Auto,"1,332 cc",,"$32,889","$49,848","$76,302","$19,770 / year",SUV
HONDA FIT 1.3A G F-PACKAGE,"$89,800   ",03-Oct-2019,8yrs 4mths 14days,2019,8 km,1,Auto,"1,317 cc",,"$31,759","$15,655","$30,858","$10,380 / year",Hatchback
BMW 5 SERIES 525I XL (COE TILL 01/2029),"$59,800   ",23-Jan-2009,7yrs 8mths 4days,2008,"114,000 km",2,Auto,"2,497 cc",,"$31,335","$51,021","$24,089","$7,780 / year",Luxury Sedan
TOYOTA ALPHARD 2.5A SC MOONROOF,"$234,800   ",16-Mar-2021,9yrs 9mths 25days,2020,10 km,1,Auto,"2,493 cc",,"$51,900","$54,954","$104,207","$20,280 / year",MPV
PEUGEOT 3008 DIESEL 1.6A BLUEHDI,"$53,000   ",28-Oct-2016,5yrs 5mths 9days,2016,"49,000 km",2,Auto,"1,560 cc",Diesel,"$50,991","$21,456","$36,802","$8,630 / year",SUV
BMW 7 SERIES 730LI SUNROOF,"$238,000   ",28-Mar-2018,6yrs 10mths 9days,2017,"20,000 km",1,Auto,"1,998 cc",,"$39,001","$79,348","$112,887","$26,310 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
MERCEDES-BENZ E-CLASS E63 S AMG,"$188,000   ",11-Sep-2014,3yrs 3mths 23days,2014,"45,000 km",4,Auto,"5,461 cc",,"$65,001","$99,605","$119,904","$33,860 / year",Luxury Sedan
SUBARU FORESTER 2.0XT SUNROOF,"$81,800   ",27-Apr-2017,5yrs 11mths 8days,2017,"80,000 km",1,Auto,"1,998 cc",,"$54,405","$17,931","$45,778","$12,260 / year",SUV
MAZDA 3 1.5A DELUXE,"$57,822   ",16-Aug-2016,5yrs 2mths 28days,2016,"72,000 km",1,Auto,"1,496 cc",,"$53,000","$18,819","$38,171","$9,700 / year",Mid-Sized Sedan
SUZUKI SWIFT SPORT 1.6A (COE TILL 11/2023),"$21,800   ",05-Nov-2008,2yrs 5mths 17days,2008,"180,000 km",6,Auto,"1,586 cc",,"$14,835","$14,069","$3,658","$8,840 / year",Hatchback
MERCEDES-BENZ A-CLASS A200,"$56,800   ",12-Feb-2014,2yrs 8mths 24days,2013,"90,000 km",2,Auto,"1,595 cc",,"$85,000","$26,887","$35,050","$17,160 / year",Hatchback
TOYOTA CAMRY 2.5A,"$53,800   ",25-Jun-2014,3yrs 1mth 6days,2014,"92,571 km",2,Auto,"2,494 cc",,"$68,103","$28,027","$41,445","$12,300 / year",Luxury Sedan
MITSUBISHI OUTLANDER 2.4A,"$74,555   ",18-Nov-2016,5yrs 5mths 30days,2016,"71,418 km",1,Auto,"2,360 cc",,"$53,001","$24,240","$48,624","$11,190 / year",SUV
HONDA CIVIC TYPE R 2.0M VTEC TURBO GT,"$220,000   ",16-Mar-2021,9yrs 9mths 25days,2002,7 km,1,Manual,"1,996 cc",,"$46,002","$49,261","$90,945","$19,280 / year",Sports Car
MERCEDES-BENZ A-CLASS A180,"$70,000   ",01-Oct-2015,4yrs 4mths 12days,2015,"88,000 km",3,Auto,"1,595 cc",,"$55,889","$22,209","$37,103","$13,940 / year",Hatchback
MERCEDES-BENZ A-CLASS A35 AMG 4MATIC PREMIUM PLUS,"$186,888   ",10-Jan-2020,8yrs 7mths 22days,2019,"10,000 km",2,Auto,"1,991 cc",,"$37,109","$49,655","$78,245","$18,050 / year",Hatchback
BMW M SERIES M850I GRAN COUPE XDRIVE,"$558,888   ",24-Jul-2020,9yrs 2mths 5days,2019,"9,500 km",1,Auto,"4,395 cc",,"$35,001","$133,601","$191,514","$49,270 / year",Sports Car
NISSAN NOTE 1.2A,"$47,800   ",29-Nov-2016,5yrs 6mths 10days,2016,"78,000 km",1,Auto,"1,198 cc",,"$50,951","$13,435","$31,948","$8,190 / year",Hatchback
JAGUAR XJ 2.0A PREMIUM LUXURY SWB SUNROOF,"$153,000   ",31-Oct-2014,3yrs 5mths 12days,2014,"100,000 km",1,Auto,"1,999 cc",,"$74,801","$70,508","$90,137","$29,970 / year",Luxury Sedan
MERCEDES-BENZ CLS-CLASS CLS53 MILD HYBRID AMG LINE 4MATIC PLUS,"$466,000   ",07-Feb-2020,8yrs 8mths 19days,2019,"20,000 km",1,Auto,"2,999 cc",Petrol-Electric,"$36,001","$89,649","$131,451","$45,750 / year",Luxury Sedan
LAMBORGHINI HURACAN LP580-2,"$630,000   ",09-Feb-2017,5yrs 8mths 21days,2016,"2,300 km",2,Auto,"5,204 cc",,"$53,106","$202,240","$282,462","$80,600 / year",Sports Car
TOYOTA VELLFIRE 3.5A Z G-EDITION,"$228,000   ",14-Jan-2020,8yrs 7mths 26days,2019,"13,000 km",1,Auto,"3,456 cc",,"$34,000","$57,947","$86,683","$21,910 / year",MPV
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
HONDA CIVIC HB 1.0A VTEC TURBO SE,"$81,818   ",29-Dec-2017,6yrs 7mths 10days,2017,"59,000 km",2,Auto,988 cc,,"$48,011","$28,219","$47,896","$10,740 / year",Hatchback
VOLKSWAGEN SCIROCCO 1.4A TSI (COE TILL 01/2025),"$37,000   ",27-Apr-2010,3yrs 8mths 13days,2010,"110,000 km",4,Auto,"1,390 cc",,"$16,184","$24,396","$6,004","$9,970 / year",Sports Car
MAZDA MX-5 ROADSTER 2.0A RHT (COE TILL 11/2027),"$69,800   ",15-Jan-2008,6yrs 6mths 12days,2007,"178,000 km",4,Auto,"1,998 cc",,"$50,168","$24,122","$32,808","$10,670 / year",Sports Car
VOLKSWAGEN GOLF GTI 5DR SUNROOF (COE TILL 11/2029),"$79,800   ",03-Mar-2010,8yrs 6mths 12days,2009,"96,000 km",4,Auto,"1,984 cc",,"$39,129","$31,845","$33,426","$9,340 / year",Sports Car
MERCEDES-BENZ A-CLASS SALOON A200 PROGRESSIVE,"$155,777   ",03-Jan-2020,8yrs 7mths 15days,2019,"6,800 km",1,Auto,"1,332 cc",,"$37,000","$32,332","$59,890","$15,890 / year",Luxury Sedan
ROLLS-ROYCE CULLINAN 6.75A,"$1,518,888   ",11-Jan-2021,9yrs 7mths 23days,2020,88 km,1,Auto,"6,749 cc",,"$49,001","$426,088","$601,529","$119,050 / year",SUV
BMW 5 SERIES 528I,"$52,500   ",28-Sep-2012,1yr 4mths 9days,2012,"80,000 km",1,Auto,"1,997 cc",,"$89,990","$48,559","$38,961","$20,720 / year",Luxury Sedan
PORSCHE 911 CARRERA S PDK,"$601,988   ",06-Jan-2021,9yrs 7mths 18days,2020,652 km,1,Auto,"2,981 cc",,"$41,101","$150,078","$221,232","$49,880 / year",Sports Car
TOYOTA ALPHARD 2.5A X 8-SEATER,"$195,988   ",08-Jan-2021,9yrs 7mths 20days,2020,652 km,1,Auto,"2,493 cc",,"$49,300","$42,623","$86,312","$17,640 / year",MPV
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
AUDI Q5 2.0A TFSI (COE TILL 04/2030),"$79,800   ",20-Apr-2010,8yrs 11mths 1day,2010,"78,000 km",5,Auto,"1,984 cc",,"$33,568","$37,968","$29,963","$8,940 / year",SUV
PEUGEOT 3008 DIESEL 1.6A BLUEHDI,"$53,000   ",28-Oct-2016,5yrs 5mths 9days,2016,"49,000 km",2,Auto,"1,560 cc",Diesel,"$50,991","$21,456","$36,802","$8,630 / year",SUV
BMW 7 SERIES 730LI SUNROOF,"$238,000   ",28-Mar-2018,6yrs 10mths 9days,2017,"20,000 km",1,Auto,"1,998 cc",,"$39,001","$79,348","$112,887","$26,310 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
AUDI Q2 1.0A TFSI S-TRONIC,"$115,000   ",15-Sep-2020,9yrs 3mths 27days,2019,"2,000 km",2,Auto,999 cc,,"$35,001","$23,664","$51,509","$10,980 / year",SUV
PEUGEOT 3008 DIESEL 1.6A BLUEHDI,"$53,000   ",28-Oct-2016,5yrs 5mths 9days,2016,"49,000 km",2,Auto,"1,560 cc",Diesel,"$50,991","$21,456","$36,802","$8,630 / year",SUV
BMW 7 SERIES 730LI SUNROOF,"$238,000   ",28-Mar-2018,6yrs 10mths 9days,2017,"20,000 km",1,Auto,"1,998 cc",,"$39,001","$79,348","$112,887","$26,310 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
PORSCHE CAYENNE 3.6A TIP (COE TILL 07/2027),"$92,800   ",31-Oct-2007,6yrs 2mths 13days,2007,"127,000 km",5,Auto,"3,598 cc",,"$52,473","$83,811","$32,562","$14,950 / year",SUV
PORSCHE PANAMERA TURBO 4.8A PDK (COE TILL 07/2030),"$169,800   ",28-Jul-2010,9yrs 2mths 9days,2010,"79,000 km",More than 6,Auto,"4,806 cc",,"$33,568","$180,224","$30,873","$18,460 / year",Sports Car
MERCEDES-BENZ G-CLASS G63 AMG 4MATIC,"$670,988   ",07-Nov-2020,9yrs 5mths 19days,2020,38 km,1,Auto,"3,982 cc",,"$39,500","$149,856","$218,739","$58,050 / year",SUV
MERCEDES-BENZ GLB-CLASS GLB200 AMG LINE PREMIUM,"$198,800   ",02-Sep-2020,9yrs 3mths 14days,2020,80 km,1,Auto,"1,332 cc",,"$37,102","$39,978","$70,467","$18,810 / year",SUV
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
AUDI TTS ROADSTER 2.0A TFSI QUATTRO S-TRONIC (COE TILL 01/2029),"$92,500   ",27-Feb-2009,7yrs 8mths 13days,2008,"98,000 km",4,Auto,"1,984 cc",,"$31,335","$64,362","$24,167","$11,990 / year",Sports Car
TOYOTA CAMRY 2.0A,"$119,800   ",26-Aug-2019,8yrs 3mths 7days,2019,"15,000 km",1,Auto,"1,998 cc",,"$42,564","$30,785","$61,553","$12,350 / year",Luxury Sedan
FERRARI 458 SPECIALE,"$850,000   ",18-Sep-2014,3yrs 3mths 30days,2014,"20,000 km",5,Auto,"4,497 cc",,"$71,990","$320,283","$380,554","$172,530 / year",Sports Car
RENAULT CLIO RS,"$63,000   ",31-Jul-2014,3yrs 2mths 12days,2013,"135,000 km",6,Auto,"1,618 cc",,"$65,001","$24,850","$34,982","$16,270 / year",Sports Car
HYUNDAI ELANTRA 1.6A,"$41,800   ",16-Sep-2014,3yrs 3mths 28days,2014,"56,000 km",1,Auto,"1,591 cc",,"$64,841","$13,596","$30,439","$10,510 / year",Mid-Sized Sedan
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
BMW 5 SERIES 528I,"$65,000   ",28-Sep-2012,1yr 4mths 9days,2012,"93,000 km",1,Auto,"1,997 cc",,"$89,990","$48,559","$38,961","$29,910 / year",Luxury Sedan
TOYOTA RAIZE 1.0A XS,"$96,988   ",25-Feb-2021,9yrs 9mths 6days,2019,88 km,1,Auto,996 cc,,"$42,000","$19,165","$44,818","$9,660 / year",SUV
BMW 5 SERIES 523I SUNROOF (COE TILL 03/2031),"$84,800   ",11-Mar-2011,9yrs 9mths 20days,2010,"97,188 km",1,Auto,"2,497 cc",,"$47,701","$46,003","$46,825","$8,640 / year",Luxury Sedan
VOLKSWAGEN GOLF 1.2A TSI,"$40,800   ",11-Mar-2015,3yrs 9mths 20days,2014,"103,000 km",2,Auto,"1,197 cc",,"$61,410","$18,127","$26,670","$10,040 / year",Hatchback
VOLKSWAGEN GOLF 1.4A TSI (COE TILL 06/2024),"$27,800   ",25-Jun-2009,3yrs 1mth 6days,2009,"143,000 km",4,Auto,"1,390 cc",,"$14,920","$21,841","$4,631","$8,960 / year",Hatchback
